MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,20.3540000,0.0840449,0.1588092,0.0395151
MsgID.LOCAL_VELOCITY,20.3540000,-0.0000029,0.0000011,0.0000073
MsgID.GLOBAL_POSITION,0.0000000,-122.3974498,37.7924805,-0.0140000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,20.6040000,0.0012268,0.3040161,0.0111293
MsgID.LOCAL_VELOCITY,20.6040000,-0.0000063,-0.0000000,0.0000060
MsgID.GLOBAL_POSITION,0.0000000,-122.3974514,37.7924801,0.0250000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,20.8550000,-0.0358822,0.1656410,-0.0272593
MsgID.LOCAL_VELOCITY,20.8550000,-0.0000030,-0.0000088,0.0000183
MsgID.STATE,0.0000000,True,True,1
MsgID.GLOBAL_HOME,0.0000000,-122.3974533,37.7924804,0.0000000
MsgID.GLOBAL_POSITION,0.0000000,-122.3974496,37.7924799,0.0700000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,21.1050000,-0.0613014,0.3439436,-0.0741465
MsgID.LOCAL_VELOCITY,21.1050000,0.0000230,0.0000135,0.0000174
MsgID.GLOBAL_POSITION,0.0000000,-122.3974485,37.7924786,0.1190000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,21.3550000,-0.2104246,0.4225649,-0.1212514
MsgID.LOCAL_VELOCITY,21.3550000,-0.0000030,-0.0000054,0.0000184
MsgID.GLOBAL_POSITION,0.0000000,-122.3974501,37.7924788,0.1620000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,21.6050000,-0.1658980,0.2749264,-0.1642260
MsgID.LOCAL_VELOCITY,21.6050000,0.0000140,-0.0000086,0.0000169
MsgID.GLOBAL_POSITION,0.0000000,-122.3974519,37.7924804,0.1940000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,21.8550000,0.0005479,0.1165679,-0.1953568
